State,Name,Population,HHI,PovertyRate
1,Alabama,4747424,42934,17.13318633
2,Alaska,700703,69014,9.292239365
4,Arizona,6337373,50752,15.8358203
5,Arkansas,2895928,40149,17.84650723
6,California,36969200,61632,14.09681843
8,Colorado,4966061,57685,12.23760642
9,Connecticut,3558172,69243,9.183676337
10,Delaware,890856,59317,10.8665149
11,District of Columbia,593955,61835,17.14490155
12,Florida,18688787,47827,14.33693904
13,Georgia,9600612,49736,16.05587227
15,Hawaii,1346554,67116,9.980067639
16,Idaho,1549987,46890,13.98295599
17,Illinois,12790182,56576,12.82568145
18,Indiana,6454254,48393,13.71421081
19,Iowa,3032266,50451,11.46126362
20,Kansas,2830985,50594,12.2637174
21,Kentucky,4316040,42248,17.53799779
22,Louisiana,4484596,44086,17.8545626
23,Maine,1328543,47898,12.43061007
24,Maryland,5736545,72419,8.761545495
25,Massachusetts,6512227,65981,10.34157747
26,Michigan,9920621,48669,15.30607812
27,Minnesota,5278190,58476,10.70734475
28,Mississippi,2956700,38718,20.89508574
29,Missouri,5955802,47202,13.91273585
30,Montana,982854,45324,14.23446412
31,Nebraska,1813061,50695,11.67925404
32,Nevada,2673396,55553,12.75168363
33,New Hampshire,1315911,64664,7.72347066
34,New Jersey,8753064,71180,9.198721728
35,New Mexico,2037136,44631,18.57023782
36,New York,19302448,56951,14.10239261
37,North Carolina,9418736,46291,15.64494429
38,North Dakota,666783,49415,11.83113547
39,Ohio,11525536,48071,14.3524171
40,Oklahoma,3714520,44287,15.77716636
41,Oregon,3801991,49850,14.47588908
42,Pennsylvania,12660739,51651,12.23363818
44,Rhode Island,1053959,55975,12.28264098
45,South Carolina,4575864,44587,16.47131558
46,South Dakota,807697,48010,13.28926565
47,Tennessee,6297991,43989,16.45284981
48,Texas,24774187,50920,16.63062041
49,Utah,2715379,57783,11.20009398
50,Vermont,624958,53422,10.84248862
51,Virginia,7926192,63302,10.32553842
53,Washington,6652845,58890,12.27308016
54,West Virginia,1846372,39550,16.97182366
55,Wisconsin,5664893,52374,11.67992052
56,Wyoming,554697,56380,9.89729528
72,Puerto Rico,3742586,19122,44.78333965
