State,year,Population,HHI,PovertyRate
Alabama,2011,4747424,42934,17.13318633
Alaska,2011,700703,69014,9.292239365
Arizona,2011,6337373,50752,15.8358203
Arkansas,2011,2895928,40149,17.84650723
California,2011,36969200,61632,14.09681843
Colorado,2011,4966061,57685,12.23760642
Connecticut,2011,3558172,69243,9.183676337
Delaware,2011,890856,59317,10.8665149
District of Columbia,2011,593955,61835,17.14490155
Florida,2011,18688787,47827,14.33693904
Georgia,2011,9600612,49736,16.05587227
Hawaii,2011,1346554,67116,9.980067639
Idaho,2011,1549987,46890,13.98295599
Illinois,2011,12790182,56576,12.82568145
Indiana,2011,6454254,48393,13.71421081
Iowa,2011,3032266,50451,11.46126362
Kansas,2011,2830985,50594,12.2637174
Kentucky,2011,4316040,42248,17.53799779
Louisiana,2011,4484596,44086,17.8545626
Maine,2011,1328543,47898,12.43061007
Maryland,2011,5736545,72419,8.761545495
Massachusetts,2011,6512227,65981,10.34157747
Michigan,2011,9920621,48669,15.30607812
Minnesota,2011,5278190,58476,10.70734475
Mississippi,2011,2956700,38718,20.89508574
Missouri,2011,5955802,47202,13.91273585
Montana,2011,982854,45324,14.23446412
Nebraska,2011,1813061,50695,11.67925404
Nevada,2011,2673396,55553,12.75168363
New Hampshire,2011,1315911,64664,7.72347066
New Jersey,2011,8753064,71180,9.198721728
New Mexico,2011,2037136,44631,18.57023782
New York,2011,19302448,56951,14.10239261
North Carolina,2011,9418736,46291,15.64494429
North Dakota,2011,666783,49415,11.83113547
Ohio,2011,11525536,48071,14.3524171
Oklahoma,2011,3714520,44287,15.77716636
Oregon,2011,3801991,49850,14.47588908
Pennsylvania,2011,12660739,51651,12.23363818
Rhode Island,2011,1053959,55975,12.28264098
South Carolina,2011,4575864,44587,16.47131558
South Dakota,2011,807697,48010,13.28926565
Tennessee,2011,6297991,43989,16.45284981
Texas,2011,24774187,50920,16.63062041
Utah,2011,2715379,57783,11.20009398
Vermont,2011,624958,53422,10.84248862
Virginia,2011,7926192,63302,10.32553842
Washington,2011,6652845,58890,12.27308016
West Virginia,2011,1846372,39550,16.97182366
Wisconsin,2011,5664893,52374,11.67992052
Wyoming,2011,554697,56380,9.89729528
Alabama,2012,4777326,43160,17.6310346
Alaska,2012,711139,69917,9.36961691
Arizona,2012,6410979,50256,16.76789146
Arkansas,2012,2916372,40531,18.18385995
California,2012,37325068,61400,14.9767979
Colorado,2012,5042853,58244,12.56982902
Connecticut,2012,3572213,69519,9.647129105
Delaware,2012,900131,60119,11.18226125
District of Columbia,2012,605759,64267,17.43366586
Florida,2012,18885152,47309,15.28794155
Georgia,2012,9714569,49604,16.93612964
Hawaii,2012,1362730,67492,10.49371482
Idaho,2012,1567803,47015,14.77251925
Illinois,2012,12823860,56853,13.33814468
Indiana,2012,6485530,48374,14.2952542
Iowa,2012,3047646,51129,11.83437971
Kansas,2012,2851183,51273,12.82471171
Kentucky,2012,4340167,42610,18.00587397
Louisiana,2012,4529605,44673,18.13014601
Maine,2012,1329084,48219,12.91445838
Maryland,2012,5785496,72999,9.19741367
