state,county,city,date_local,no2_units,no2_mean,o3_units,o3_mean,so2_units,so2_mean,co_units,co_mean,latitude,longitude
Arizona,Maricopa,Phoenix,2011-01-01,Parts per billion,24.416667,Parts per million,0.014417,Parts per billion,1.708333,Parts per million,0.995833,,
Arkansas,Pulaski,North Little Rock,2011-01-01,Parts per billion,3.329167,Parts per million,0.025375,Parts per billion,1.85,Parts per million,0.17083299999999998,,
California,Alameda,Oakland,2011-01-01,Parts per billion,12.882609,Parts per million,0.015166999999999996,Parts per billion,0.591304,Parts per million,0.156522,35.20105,-91.83183299999999
Colorado,Adams,Welby,2011-01-01,Parts per billion,26.217391,Parts per million,0.015166999999999996,Parts per billion,2.565217,Parts per million,0.325,34.048928000000004,-111.093731
Connecticut,Fairfield,Westport,2011-03-31,Parts per billion,10.875,Parts per million,0.035,Parts per billion,0.7125,Parts per million,0.204583,36.778261,-119.41793200000001
Delaware,New Castle,Wilmington,2011-01-01,Parts per billion,25.916667,Parts per million,0.01325,Parts per billion,2.5,Parts per million,0.716917,39.550051,-105.782067
District Of Columbia,District of Columbia,Washington,2011-01-01,Parts per billion,18.208333,Parts per million,0.020208,Parts per billion,2.625,Parts per million,1.0,41.603221000000005,-73.087749
Florida,Orange,Winter Park,2011-01-01,Parts per billion,8.125,Parts per million,0.024875,Parts per billion,0.0,Parts per million,0.7,38.905985,-77.03341800000001
Georgia,DeKalb,Not in a city,2011-01-01,Parts per billion,3.238095,Parts per million,0.020708,Parts per billion,0.225,Parts per million,0.171227,38.910832,-75.52767
Hawaii,Honolulu,Not in a city,2011-01-01,Parts per billion,3.25,Parts per million,0.022208,Parts per billion,1.083333,Parts per million,0.241667,27.664827000000002,-81.515754
Idaho,Ada,Not in a city,2011-01-01,Parts per billion,9.766667,Parts per million,0.024417,Parts per billion,0.026087,Parts per million,0.199292,32.157435,-82.907123
Illinois,Cook,Cicero,2011-03-31,Parts per billion,37.958333,Parts per million,0.001,Parts per billion,5.75,Parts per million,0.5875,19.898682,-155.66585700000002
